City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
474,taoudenni,22.6783,-3.9836,26.08,7,0,4.99,ML,1710535031
475,qoryooley,1.7878,44.53,26.85,74,8,5.05,SO,1710535031
476,lilongwe,-13.9669,33.7873,19.31,95,100,0.88,MW,1710534842
477,trinidad,-14.8333,-64.9,33.99,59,75,4.12,BO,1710534866
478,general acha,-37.377,-64.6043,27.17,27,0,4.97,AR,1710535033
479,argo,37.6333,22.7333,12.1,82,45,1.11,GR,1710534761
480,mpika,-11.8343,31.4529,17.74,97,48,2.3,ZM,1710535033
481,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1710535034
482,emerald,-23.5333,148.1667,20.19,86,1,3.27,AU,1710535034
483,harper,4.375,-7.7169,28.1,84,95,2.47,LR,1710535035
484,hopelchen,19.7667,-89.85,37.35,23,97,3.32,MX,1710535035
485,ouesso,1.6136,16.0517,24.95,80,68,1.09,CG,1710535036
486,pacific grove,36.6177,-121.9166,22.72,39,0,4.12,US,1710535036
487,codrington,-38.2667,141.9667,15.09,75,41,3.94,AU,1710535037
488,skovorodino,53.9833,123.9167,-20.6,97,9,1.02,RU,1710534742
489,puerto lempira,15.2667,-83.7667,32.08,66,75,4.12,HN,1710535037
490,muynoq,43.7683,59.0214,3.68,39,12,7.93,UZ,1710535038
491,guardo,42.7897,-4.8482,7.03,79,46,0.85,ES,1710535038
492,merizo village,13.2658,144.6691,26.31,88,97,7.17,GU,1710535039
493,bochil,16.9833,-92.9167,30.98,26,79,1.63,MX,1710534848
494,mumford,5.2618,-0.759,27.31,85,88,2.2,GH,1710535039
495,k'olito,7.3167,38.0833,19.32,45,5,2.08,ET,1710535040
496,pokhara,28.2333,83.9833,15.33,26,35,2.88,NP,1710534965
497,arraial do cabo,-22.9661,-42.0278,28.98,78,0,5.66,BR,1710534933
498,ormara,25.2088,64.6357,22.59,64,6,3.31,PK,1710535042
499,buka,40.8108,69.1986,2.47,60,0,1.73,UZ,1710535043
500,kanggye,40.9695,126.5852,-0.37,84,25,1.96,KP,1710535043
501,nushki,29.5542,66.0215,14.55,40,96,0.82,PK,1710534791
502,tarko-sale,64.9225,77.785,-8.77,94,100,11.48,RU,1710535044
503,xudat,41.631,48.681,6.35,93,100,2.44,AZ,1710535044
504,querendaro,19.8667,-100.9167,29.02,13,75,7.2,MX,1710535045
505,ugoofaaru,5.6667,73.0,28.7,63,75,3.06,MV,1710535045
506,erbaa,40.6689,36.5675,9.88,84,97,1.4,TR,1710535046
507,ponoka,52.6768,-113.5815,4.55,92,99,2.28,CA,1710534753
508,nova olimpia,-14.7972,-57.2881,31.93,60,100,1.59,BR,1710535047
509,fort st. john,56.2499,-120.8529,7.94,57,75,2.06,CA,1710535047
510,warmbad,-28.45,18.7333,25.1,25,33,4.11,NA,1710535048
511,bilhaur,26.85,80.0833,18.44,20,1,3.13,IN,1710535048
512,al hasakah,36.5024,40.7477,12.9,63,0,3.23,SY,1710535048
513,hulan ergi,47.2042,123.6333,-1.84,54,100,2.9,CN,1710535049
514,gbarnga,6.9956,-9.4722,25.92,83,46,1.76,LR,1710535051
515,pierre,44.3683,-100.351,15.48,26,0,5.66,US,1710535051
516,buncrana,55.1333,-7.45,6.87,87,19,1.47,IE,1710535052
517,grand baie,-20.0182,57.5802,26.92,83,9,2.24,MU,1710535052
518,najran,17.4924,44.1277,27.36,27,74,1.18,SA,1710535053
519,minas de marcona,-15.2119,-75.1103,21.32,71,63,6.82,PE,1710535053
520,saint-pierre,-21.3393,55.4781,24.82,78,20,2.06,RE,1710535054
521,san matias,-16.3667,-58.4,36.74,36,74,3.06,BO,1710535054
522,vyerkhnyadzvinsk,55.7815,27.9443,4.08,85,100,3.18,BY,1710535055
523,saint-philippe,-21.3585,55.7679,24.77,80,47,4.48,RE,1710535055
524,nyurba,63.2842,118.3319,-27.98,100,98,1.66,RU,1710534801
525,bartica,6.4,-58.6167,29.8,62,82,3.41,GY,1710534855
526,bikenibeu village,1.3673,173.1241,28.98,84,40,4.63,KI,1710535056
527,colac,-38.3333,143.5833,14.35,94,9,2.74,AU,1710535057
528,humberto de campos,-2.5983,-43.4611,26.03,90,99,3.17,BR,1710534772
529,tionk essil,12.7856,-16.5217,30.03,51,0,2.91,SN,1710535057
530,pran buri,12.3847,99.9098,24.78,79,67,3.05,TH,1710535058
531,vila do maio,15.1333,-23.2167,24.44,79,0,5.99,CV,1710535058
532,tughyl,47.7252,84.2063,-10.28,87,98,0.93,KZ,1710535059
533,zhezqazghan,47.7833,67.7667,-13.7,97,45,1.71,KZ,1710535059
534,arteche,12.2645,125.4048,24.71,88,98,4.66,PH,1710535059
535,heroica caborca,30.7167,-112.15,17.51,45,81,10.13,MX,1710534848
536,santiago de cao,-7.9589,-79.2392,24.07,78,20,4.12,PE,1710535060
537,portland,45.5234,-122.6762,21.62,35,20,7.2,US,1710534781
538,cusseta,32.3054,-84.7727,18.56,86,95,3.55,US,1710534952
539,bestobe,52.4994,73.0975,-7.92,91,62,5.59,KZ,1710535061
540,alasehir,38.3508,28.5172,9.24,85,31,1.29,TR,1710535062
541,khandyga,62.6667,135.6,-26.15,100,100,0.83,RU,1710535062
542,morehead city,34.7229,-76.726,27.01,77,0,6.69,US,1710534923
543,ghanzi,-21.5667,21.7833,28.36,34,56,5.06,BW,1710535063
544,bhaisa,19.1,77.9667,27.68,26,12,1.37,IN,1710535063
545,martapura,-3.4167,114.85,24.05,100,40,1.03,ID,1710535064
546,bowen,-20.0167,148.2333,25.51,82,57,5.5,AU,1710535064
547,kaka,37.3482,59.6143,11.06,58,96,3.54,TM,1710535064
548,beruniy,41.6911,60.7525,2.98,70,0,6.17,UZ,1710535065
549,mpanda,-6.3655,31.0409,19.15,96,72,0.77,TZ,1710535065
550,foso,5.7012,-1.2866,26.56,78,59,1.57,GH,1710535066
551,manado,1.487,124.8455,24.43,100,40,0.51,ID,1710535066
552,atar,20.5169,-13.0499,29.24,10,0,3.54,MR,1710535067
553,sangmelima,2.9333,11.9833,23.93,68,99,1.26,CM,1710535067
554,murzuq,25.9155,13.9184,18.22,28,0,6.97,LY,1710535067
555,kavaratti,10.5669,72.642,27.55,73,1,3.88,IN,1710534785
556,jeju city,33.5097,126.5219,7.96,53,0,2.06,KR,1710535069
557,les cayes,18.2,-73.75,28.24,66,8,5.05,HT,1710534861
558,san pascual,13.7975,121.0342,22.97,88,100,3.62,PH,1710535069
559,saint-mandrier-sur-mer,43.078,5.929,15.99,83,0,3.13,FR,1710535070
